"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",141.990476190476,2.88190885600221,49.2695929278782,6.65637288300658e-19
"poly(x, degree = 4)1",168.533785547523,13.2065654785937,12.7613637187273,8.39668591816992e-10
"poly(x, degree = 4)2",-335.319087648787,13.2065654785937,-25.3903324215747,2.34916599606914e-14
"poly(x, degree = 4)3",-53.6796466282458,13.2065654785937,-4.06461821699624,0.000901021293047552
"poly(x, degree = 4)4",125.153474872515,13.2065654785937,9.47661033259356,5.77251883997044e-08
