"","Estimate","Std. Error","t value","Pr(>|t|)"
"mu",1909.1593127483,0.976525757953188,1955.05269287512,3.01655123339344e-29
"sigma",26.5342162679427,0.998365448243486,26.5776588268622,1.31204636672712e-10
"k",20.0816823167468,0.582083268908837,34.4996727949105,9.91507546696688e-12
