"","Estimate","Std. Error","t value","Pr(>|t|)"
"mu",2016.07341528734,0.147939940827522,13627.6478414833,1.08438711711822e-77
"sigma",7.00318423581237,0.102927343159852,68.0400758517205,4.46595522582719e-27
"k",1053.39627840751,6.62294316411206,159.052592224493,3.58565532314293e-35
