"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",254.033333333333,2.03854954587608,124.614745737839,1.88466101678797e-36
"poly(x, degree = 4)1",1075.76167501162,11.1655957086824,96.3461066546682,1.15601612897454e-33
"poly(x, degree = 4)2",122.006138608145,11.1655957086824,10.926970829982,5.20366816280076e-11
"poly(x, degree = 4)3",-83.1667651177435,11.1655957086824,-7.44848436998958,8.42502999300869e-08
"poly(x, degree = 4)4",26.1689391531067,11.1655957086824,2.34371186597394,0.0273454909180058
