"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",254.033333333333,3.63764395749121,69.834578727857,4.83605022022717e-32
"poly(x, degree = 2)1",1075.76167501162,19.924196516903,53.992725583638,4.79080693963432e-29
"poly(x, degree = 2)2",122.006138608145,19.924196516903,6.12351612295325,1.52887384006298e-06
