"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",27.628947368421,0.447476178885076,61.7439512361548,1.84185094232057e-18
"poly(x, degree = 4)1",43.2028835925963,1.95050344340178,22.1496064202011,2.68349349204433e-12
"poly(x, degree = 4)2",-42.2649506309493,1.95050344340178,-21.6687393062158,3.61915107890345e-12
"poly(x, degree = 4)3",-0.448259109899551,1.95050344340178,-0.229817133323161,0.821557724618656
"poly(x, degree = 4)4",13.0424808455925,1.95050344340178,6.68672536298921,1.03254239103361e-05
