"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",21.1116,0.420415597220679,50.2160246659888,3.94938059632195e-18
"poly(x, degree = 4)1",22.3849872847915,1.88015570837322,11.9059220388506,4.81330784288085e-09
"poly(x, degree = 4)2",-41.6664695395494,1.88015570837322,-22.1611802437367,7.09927367341774e-13
"poly(x, degree = 4)3",6.09458926691679,1.88015570837322,3.24153432600009,0.00547749918911751
"poly(x, degree = 4)4",10.8468746891069,1.88015570837322,5.76913637567391,3.70486231111494e-05
