"","Estimate","Std. Error","t value","Pr(>|t|)"
"A",-0.369686621819172,0.790581736055273,-0.46761341042835,0.651176716014108
"B",203.21001119846,19.4832296243089,10.4299962129953,2.51774539725133e-06
"xmid",1916.2031062864,5.59535626172661,342.463109881605,7.85616022783819e-20
"scal",32.5659445592533,1.61551860621443,20.1581983853245,8.46991380869978e-09
