x,y
1870,0.02
1880,0.12
1890,0.32
1900,0.65
1910,1.43
1920,3.2
1930,6.32
1940,9.55
1950,19.6
1960,39.95
1970,85.31
1980,110.24
1990,113.26
2000,129.16
2010,141.92
2015,154.62
