x,y
1801,1096
1811,1303
1821,1573
1831,1878
1841,2207
1851,2652
1861,3188
1871,3840
1881,4713
1891,5572
1901,6509
1911,7162
1921,7387
1931,8110
1939,8614
1951,8197
1961,7992
1971,7452
1981,6804
1991,6887
2001,7172
2011,8174
