x,y
1997,108
1998,176
1999,295
2000,415
2001,413
2002,427
2003,520
2004,674
2005,779
2006,847
2007,914
2008,980
2009,1211
2010,1597
2011,1775
2012,1746
2013,1809
2014,1879
2015,1917
2016,1943
