x,y
1993,1.3
1994,2.2
1995,4.9
1996,9.5
1997,16.1
1998,29.7
1999,43.2
2000,73.4
2001,109.6
2002,147.3
2003,171.6
2004,233.1
2005,317.6
2006,395
2007,433.2
2008,541.7
2009,625.2
2010,732.7
2011,818.4
2012,888.1
2013,963.5
2014,1010.3
2015,1012.7
2016,1048.8
2017,1062.7
