x,y
1872,0.029
1880,0.123
1890,0.886
1900,1.528
1910,7.837
1920,10.43
1930,14.487
1940,18.288
1950,19.615
1960,20.347
1970,21.27
1980,22.236
1982,23.371
1985,22.801
1990,20.254
2000,20.165
2010,20.035
2013,20.14
