x,y
1900,0.008
1905,0.077
1910,0.458
1915,2.33
1920,8.13
1930,23
1940,27.5
1950,40.3
1960,61.7
1970,89.2
1980,121.6
1990,133.7
2000,133.6
2010,190.2
2015,189
