x,y
1825,0.043
1830,0.157
1840,2.39
1850,9.797
1860,14.603
1870,21.558
1880,25.06
1890,27.827
1900,30.079
1910,32.184
1920,32.636
1926,32.857
1930,32.632
1940,32.094
1950,31.336
1960,29.562
1970,18.196
1980,17.645
2010,15.777
2015,15.799
