x,y
1913,0.01
1920,0.15
1929,0.93
1940,2.15
1950,3.7
1960,9.54
1965,17.9
1970,30.2
1975,43.15
1980,59.2
1990,76.32
2000,85.13
2010,104.5
2015,115.1
