x,y
1900,160
1901,159.7
1902,159.4
1903,159.7
1904,159.7
1905,160
1906,160.3
1907,160
1908,159.7
1909,160
1910,160
1911,160.3
1912,160.6
1913,160.6
1914,160.6
1915,160.9
1916,160.9
1917,160.9
1918,160.9
1919,160.9
1920,161.2
1921,162.1
1922,161.5
1923,161.2
1924,161.5
1925,161.5
1926,161.6
1927,161.4
1928,161.8
1929,162.1
1930,161.8
1931,162.5
1932,162.6
1933,162.7
1934,162.9
1935,162.9
1936,163.2
1937,161.8
1938,163.5
1939,163.8
1940,163.2
1941,163.8
1942,163.4
1943,163.9
1944,163.4
1945,162.8
1946,162.5
1947,162.1
1948,162.1
1949,162.3
1950,162.6
1951,163.8
1952,163
1953,164.5
1954,164.9
1955,165
1956,165.3
1957,165.5
1958,165.6
1959,166
1960,166.3
1961,166.5
1962,166.8
1963,166.9
1964,167.3
1965,167.8
1966,168
1967,168
1968,168.4
1969,168.3
1970,168.6
1971,168.8
1972,168.3
1973,168.4
1974,168.6
1975,168.6
1976,168.8
1977,169.1
1978,169.8
1979,169.6
1980,170.2
1981,169.9
1982,170.2
1983,170.4
1984,170.6
1985,170.8
1986,170.8
1987,170.6
1988,170.8
1989,170.7
1990,170.8
1991,171
1992,170.7
1993,171
1994,170.6
1995,171.2
1996,171.1
1997,171.2
1998,170.8
1999,171.6
2000,171.7
