x,y
1830,0.031
1840,0.41
1850,2.915
1860,9.167
1870,15.544
1880,23.089
1890,32.38
1900,38.109
1910,40.484
1920,38.2
1930,42.4
1940,40.6
1950,41.3
1960,39
1970,36.532
1980,34.07
1999,31.42
2005,29.286
2014,30.013
