x,y
1900,5
1901,5
1902,5
1903,5.1
1904,5.1
1905,5.9
1906,6.6
1907,6.6
1908,5.4
1909,6
1910,6.5
1911,6.6
1912,6.9
1913,7.8
1914,8
1915,8.5
1916,9
1917,9.6
1918,9.4
1919,7.9
1920,9
1921,3.7
1922,5.9
1923,8.5
1924,8.2
1925,7.5
1926,3.7
1927,9.2
1928,6.7
1929,9.8
1930,7.4
1931,5.3
1932,5.3
1933,7.1
1934,9
1935,10
1936,12
1937,13.2
1938,10.6
1939,13.4
1940,13.2
1941,12.5
1942,13.1
1943,13.2
1944,12.3
1945,12
1946,12.9
1947,12.9
1948,15.1
1949,15.8
1950,16.6
1951,15.9
1952,16.7
1953,17.9
1954,18.8
1955,20.1
1956,21
1957,22
1958,19.9
1959,20.5
1960,24.7
1961,22.4
1962,20.8
1963,22.9
1964,26.6
1965,27.4
1966,24.7
1967,24.3
1968,26.3
1969,26.8
1970,28.3
1971,24.2
1972,25.3
1973,26.6
1974,22.3
1975,20.1
1976,22.3
1977,20.4
1978,20.3
1979,21.5
1980,11.3
1981,15.6
1982,13.7
1983,15
1984,15.1
1985,15.7
1986,14.7
1987,17.4
1988,19
1989,18.7
1990,17.8
1991,16.5
1992,16.2
1993,16.6
1994,17.3
1995,17.6
1996,18
1997,18.5
1998,17.3
1999,16.3
2000,15.2
2001,13.5
2002,11.7
2003,13.3
2004,13.8
2005,13.2
2006,13.9
2007,14.3
2008,13.5
2009,10.1
2010,9.7
2011,9.5
2012,9.6
2013,11.9
2014,12.1
2015,11
