x,y
1830,0.4
1840,2.7
1850,8.6
1860,28.9
1870,49.2
1880,87.8
1890,163.6
1900,193.3
1910,240.4
1916,254
1920,251
1932,248
1940,234
1951,223
1960,218
1970,206
1980,164
1990,120
2000,99.2
2010,95.7
2015,94
