x,y
1700,0.625
1750,0.815
1800,0.984
1850,1.297
1870,1.379
1900,1.689
1910,1.837
1920,1.98
1930,2.17
1940,2.4
1950,2.66
1960,3.185
1970,3.762
1980,4.484
1990,5.278
2000,6.088
2015,7.349
